paper,jel
"w0572","441"
"w0572","F"
"w0573","311"
"w0573","E"
"w0574","311"
"w0574","E"
"w0575","F"
"w0575","430"
"w0576","G"
"w0576","E"
"w0576","323"
"w0576","521"
"w0577","G"
"w0577","522"
"w0579","321"
"w0579","915"
"w0579","E"
"w0579","H"
"w0580","133"
"w0580","E"
"w0580","023"
"w0581","441"
"w0581","E"
"w0581","F"
"w0581","313"
"w0582","E"
"w0582","723"
"w0582","111"
"w0582","Q"
"w0583","H"
"w0583","320"
"w0583","910"
"w0583","E"
"w0584","J"
"w0584","813"
"w0585","430"
"w0585","F"
"w0586","313"
"w0586","E"
"w0587","311"
"w0587","313"
"w0587","E"
"w0588","313"
"w0588","324"
"w0588","E"
"w0589","023"
"w0591","F"
"w0591","431"
"w0592","431"
"w0592","F"
"w0593","313"
"w0593","E"
"w0593","311"
"w0594","521"
"w0594","G"
"w0595","313"
"w0595","E"
"w0596","E"
"w0596","023"
"w0596","321"
"w0598","E"
"w0598","313"
"w0598","311"
"w0599","431"
"w0599","F"
"w0600","820"
"w0600","H"
"w0600","J"
"w0600","910"
"w0601","132"
"w0601","E"
"w0602","E"
"w0602","311"
"w0602","134"
"w0603","824"
"w0603","J"
"w0608","220"
"w0608","131"
"w0608","E"
"w0608","C"
"w0609","913"
"w0609","H"
"w0612","H"
"w0612","913"
"w0612","851"
"w0612","J"
"w0614","210"
"w0614","022"
"w0614","C"
"w0615","H"
"w0615","913"
"w0616","320"
"w0616","324"
"w0616","E"
"w0617","917"
"w0617","H"
"w0620","020"
"w0622","134"
"w0622","E"
"w0622","313"
"w0627","915"
"w0627","H"
"w0629","130"
"w0629","E"
"w0630","E"
"w0630","131"
"w0630","311"
"w0632","E"
"w0632","320"
"w0637","323"
"w0637","321"
"w0637","E"
"w0638","313"
"w0638","E"
"w0639","313"
"w0639","E"
"w0640","313"
"w0640","E"
"w0642","J2"
"w0642","M53"
"w0642","912"
"w0642","E2"
"w0652","822"
"w0652","131"
"w0652","E"
"w0652","J"
"w0653","824"
"w0653","J"
"w0655","913"
"w0655","H"
"w0656","820"
"w0656","822"
"w0656","J"
"w0657","932"
"w0657","H"
"w0659","915"
"w0659","H"
"w0662","022"
"w0663","850"
"w0663","J"
"w0664","F"
"w0664","431"
"w0665","131"
"w0665","E"
"w0665","041"
"w0666","F"
"w0666","430"
"w0667","J"
"w0667","851"
"w0668","221"
"w0668","C"
"w0669","917"
"w0669","822"
"w0669","H"
"w0669","J"
"w0671","377"
"w0671","E"
"w0672","J"
"w0672","800"
"w0673","320"
"w0673","E"
"w0674","J"
"w0674","820"
"w0675","131"
"w0675","E"
"w0675","023"
"w0676","023"
"w0676","824"
"w0676","J"
"w0678","022"
"w0679","130"
"w0679","E"
"w0680","321"
"w0680","E"
"w0681","E"
"w0681","323"
"w0682","323"
"w0682","E"
"w0684","210"
"w0684","130"
"w0684","E"
"w0684","C"
"w0685","431"
"w0685","F"
"w0686","411"
"w0686","431"
"w0686","F"
"w0687","E"
"w0687","522"
"w0687","G"
"w0687","323"
"w0688","323"
"w0688","E"
"w0688","321"
"w0689","323"
"w0689","F"
"w0689","E"
"w0689","441"
"w0690","E"
"w0690","313"
"w0692","229"
"w0692","C"
"w0692","042"
"w0693","E"
"w0693","311"
"w0693","313"
"w0694","320"
"w0694","E"
"w0695","024"
"w0697","J"
"w0697","820"
"w0698","323"
"w0698","E"
"w0699","313"
"w0699","E"
"w0701","520"
"w0701","G"
"w0703","521"
"w0703","G"
"w0704","311"
"w0704","E"
"w0705","430"
"w0705","F"
"w0706","824"
"w0706","J"
"w0707","J"
"w0707","040"
"w0707","850"
"w0708","042"
"w0708","E"
"w0708","130"
"w0709","912"
"w0709","850"
"w0709","H"
"w0709","J"
"w0710","912"
"w0710","H"
"w0710","850"
"w0710","J"
"w0711","C"
"w0711","212"
"w0711","824"
"w0711","J"
"w0712","E"
"w0712","226"
"w0712","C"
"w0712","131"
"w0713","F"
"w0713","431"
"w0714","026"
"w0715","422"
"w0715","F"
"w0715","431"
"w0717","J"
"w0717","825"
"w0718","H"
"w0718","323"
"w0718","E"
"w0718","932"
"w0719","E"
"w0719","311"
"w0720","920"
"w0720","E"
"w0720","H"
"w0720","131"
"w0721","021"
"w0722","J"
"w0722","800"
"w0722","040"
"w0723","131"
"w0723","134"
"w0723","E"
"w0724","G"
"w0724","521"
"w0725","E"
"w0725","313"
"w0725","314"
"w0726","311"
"w0726","C"
"w0726","E"
"w0726","211"
"w0727","022"
"w0729","E"
"w0729","323"
"w0730","323"
"w0730","E"
"w0731","311"
"w0731","E"
"w0732","C"
"w0732","211"
"w0732","E"
"w0732","313"
"w0733","820"
"w0733","E"
"w0733","J"
"w0733","323"
"w0734","915"
"w0734","H"
"w0735","912"
"w0735","H"
"w0736","431"
"w0736","052"
"w0736","F"
"w0737","312"
"w0737","E"
"w0738","313"
"w0738","E"
"w0739","313"
"w0739","E"
"w0740","E"
"w0740","320"
"w0741","022"
"w0742","323"
"w0742","E"
"w0742","022"
"w0743","915"
"w0743","H"
"w0744","130"
"w0744","042"
"w0744","E"
"w0745","E"
"w0745","311"
"w0746","E"
"w0746","Q"
"w0746","720"
"w0746","320"
"w0747","521"
"w0747","G"
"w0748","430"
"w0748","F"
"w0749","431"
"w0749","F"
"w0750","824"
"w0750","J"
"w0751","J"
"w0751","824"
"w0752","J"
"w0752","830"
"w0753","320"
"w0753","E"
"w0755","932"
"w0755","130"
"w0755","H"
"w0755","E"
"w0756","131"
"w0756","E"
"w0758","022"
"w0758","E"
"w0758","323"
"w0759","431"
"w0759","F"
"w0760","310"
"w0760","E"
"w0761","E"
"w0761","132"
"w0762","323"
"w0762","E"
"w0763","826"
"w0763","J"
"w0763","824"
"w0764","H"
"w0764","913"
"w0765","824"
"w0765","J"
"w0766","431"
"w0766","F"
"w0767","824"
"w0767","J"
"w0768","H"
"w0768","913"
"w0769","832"
"w0769","J"
"w0770","F"
"w0770","431"
"w0771","910"
"w0771","820"
"w0771","J"
"w0771","H"
"w0772","J"
"w0772","800"
"w0774","227"
"w0774","421"
"w0774","C"
"w0774","F"
"w0775","E"
"w0775","311"
"w0776","121"
"w0776","431"
"w0776","E"
"w0776","F"
"w0777","J"
"w0777","810"
"w0779","400"
"w0779","F"
"w0780","913"
"w0780","H"
"w0781","J"
"w0781","824"
"w0782","E"
"w0782","113"
"w0782","053"
"w0784","441"
"w0784","323"
"w0784","E"
"w0784","F"
"w0786","225"
"w0786","522"
"w0786","G"
"w0786","C"
"w0787","915"
"w0787","521"
"w0787","H"
"w0787","G"
"w0789","E"
"w0789","130"
"w0789","310"
"w0790","J"
"w0790","820"
"w0791","441"
"w0791","421"
"w0791","F"
"w0792","410"
"w0792","400"
"w0792","F"
"w0793","430"
"w0793","F"
"w0794","411"
"w0794","422"
"w0794","F"
"w0795","040"
"w0796","431"
"w0796","F"
"w0796","441"
"w0797","422"
"w0797","F"
"w0797","026"
"w0799","323"
"w0799","E"
"w0800","J"
"w0800","820"
"w0802","E"
"w0802","320"
"w0803","800"
"w0803","J"
"w0804","J"
"w0804","800"
"w0805","J"
"w0805","800"
"w0805","820"
"w0806","G"
"w0806","E"
"w0806","520"
"w0806","323"
"w0807","310"
"w0807","E"
"w0808","800"
"w0808","J"
"w0809","110"
"w0809","310"
"w0809","E"
"w0810","G"
"w0810","521"
"w0811","915"
"w0811","315"
"w0811","E"
"w0811","H"
"w0812","J"
"w0812","824"
"w0813","913"
"w0813","H"
"w0815","820"
"w0815","J"
"w0816","824"
"w0816","J"
"w0817","G"
"w0817","521"
"w0817","E"
"w0817","323"
"w0818","E"
"w0818","300"
"w0819","C"
"w0819","E"
"w0819","323"
"w0819","213"
"w0820","824"
"w0820","J"
"w0821","824"
"w0821","C"
"w0821","J"
"w0821","220"
"w0822","E"
"w0822","323"
"w0823","311"
"w0823","E"
"w0825","323"
"w0825","E"
"w0827","J"
"w0827","820"
"w0828","323"
"w0828","E"
"w0830","E"
"w0830","310"
"w0831","310"
"w0831","311"
"w0831","E"
"w0832","F"
"w0832","430"
"w0833","431"
"w0833","F"
"w0834","411"
"w0834","431"
"w0834","F"
"w0835","026"
"w0835","840"
"w0835","J"
"w0837","J"
"w0837","832"
"w0839","F"
"w0839","431"
"w0840","022"
"w0840","821"
"w0840","J"
"w0841","430"
"w0841","F"
"w0842","F"
"w0842","431"
"w0843","431"
"w0843","F"
"w0844","J"
"w0844","800"
"w0845","130"
"w0845","E"
"w0846","824"
"w0846","J"
"w0847","310"
"w0847","E"
"w0847","110"
"w0848","E"
"w0848","323"
"w0849","849"
"w0849","J"
"w0850","L"
"w0850","621"
"w0851","E"
"w0851","131"
"w0851","133"
"w0852","410"
"w0852","F"
"w0852","430"
"w0853","130"
"w0853","310"
"w0853","E"
"w0855","131"
"w0855","134"
"w0855","E"
"w0856","821"
"w0856","J"
"w0856","C"
"w0856","210"
"w0857","821"
"w0857","J"
"w0857","C"
"w0857","210"
"w0858","821"
"w0858","J"
"w0859","441"
"w0859","F"
"w0859","431"
"w0860","913"
"w0860","H"
"w0861","E"
"w0861","430"
"w0861","F"
"w0861","121"
"w0862","131"
"w0862","133"
"w0862","E"
"w0863","431"
"w0863","F"
"w0864","023"
"w0864","824"
"w0864","J"
"w0865","F"
"w0865","431"
"w0866","613"
"w0866","G"
"w0866","521"
"w0866","L"
"w0867","E"
"w0867","320"
"w0867","310"
"w0869","E"
"w0869","313"
"w0869","311"
"w0871","621"
"w0871","J"
"w0871","L"
"w0871","824"
"w0872","323"
"w0872","E"
"w0873","E"
"w0873","300"
"w0875","913"
"w0875","H"
"w0877","E"
"w0877","323"
"w0877","321"
"w0878","800"
"w0878","820"
"w0878","J"
"w0879","J"
"w0879","824"
"w0880","040"
"w0881","042"
"w0882","023"
"w0884","522"
"w0884","521"
"w0884","G"
"w0885","023"
"w0885","111"
"w0885","E"
"w0886","321"
"w0886","E"
"w0887","114"
"w0887","E"
"w0888","310"
"w0888","131"
"w0888","E"
"w0889","E"
"w0889","310"
"w0891","630"
"w0891","130"
"w0891","L"
"w0891","E"
"w0892","320"
"w0892","E"
"w0893","310"
"w0893","E"
"w0894","131"
"w0894","031"
"w0894","E"
"w0896","520"
"w0896","H"
"w0896","921"
"w0896","G"
